amplitude,mean,std,drift_rate,eff_trop_year,success,correction_cycle
85.83818362456607,42.79501743141733,25.024970172740996,17.166952732014497,365.25951557093424,True,290.0
85.83818362456607,42.79501743141733,25.024970172740996,17.166952732014497,365.2573402417962,True,290.5
64.17177115385542,31.973994456604828,18.706536839461716,12.832542267597216,365.2551724137931,True,291.0
64.17177115385542,31.973994456604828,18.706536839461716,12.832542267597216,365.2530120481928,True,291.5
42.468446906089945,21.157958003593503,12.37471218056378,8.488961619565377,365.2508591065292,True,292.0
42.468446906089945,21.157958003593503,12.37471218056378,8.488961619565377,365.24871355060037,True,292.5
20.78641688348718,10.361280156615765,6.045374230967544,4.147084804951617,365.24657534246575,True,293.0
20.78641688348718,10.361280156615765,6.045374230967544,4.147084804951617,365.24444444444447,True,293.5
0.7963624657040214,-0.39748917462492667,0.26192504684256807,-0.17907537025962983,365.24232081911265,True,294.0
0.7963624657040214,-0.39748917462492667,0.26192504684256807,-0.17907537025962983,365.2402044293015,True,294.5
22.17244783332029,-11.097831201514554,6.522476848282414,-4.474302787920548,365.23809523809524,True,295.0
22.17244783332029,-11.097831201514554,6.522476848282414,-4.474302787920548,365.2359932088285,True,295.5
43.297786943898586,-21.719612446344517,12.717761405804616,-8.724182503911189,365.2338983050847,True,296.0
43.297786943898586,-21.719612446344517,12.717761405804616,-8.724182503911189,365.23181049069376,True,296.5
64.11155338155027,-32.245140520933575,18.82972000659793,-12.916780292579038,365.22972972972974,True,297.0
64.11155338155027,-32.245140520933575,18.82972000659793,-12.916780292579038,365.22765598650926,True,297.5
84.57971518363792,-42.66068477635812,24.846369556885325,-17.04379786056822,365.2255892255892,True,298.0
84.57971518363792,-42.66068477635812,24.846369556885325,-17.04379786056822,365.22352941176473,True,298.5
104.70812607965394,-52.95749207641876,30.76207523344345,-21.101309876501848,365.22147651006713,True,299.0
104.70812607965394,-52.95749207641876,30.76207523344345,-21.101309876501848,365.21943048576213,True,299.5
124.52602688890548,-63.131929194799184,36.57735754941665,-25.089663276569226,365.2173913043478,True,300.0
