amplitude,mean,std,drift_rate,eff_trop_year,success,start_year
1.839048707710731,-0.9446692071134415,0.5582078883850928,0.38138831248478483,365.24232081911265,True,-5000.0
1.69947518576015,-0.7683056437822285,0.5179575846789458,0.35244383504222493,365.24232081911265,True,-4500.0
1.526702221836274,-0.6072304638599016,0.46744100927847854,0.3160276587651484,365.24232081911265,True,-4000.0
1.33025281412215,-0.46488865569787435,0.4078041263157307,0.27281544094357646,365.24232081911265,True,-3500.0
1.1085680723722815,-0.3444640959827467,0.34105394024714863,0.22390378599606542,365.24232081911265,True,-3000.0
0.9064272136197814,-0.24825140635273543,0.27118958942336935,0.1715387935040478,365.24232081911265,True,-2500.0
0.7075382525733743,-0.17692692863652,0.20191004710568836,0.1174338207521981,365.24232081911265,True,-2000.0
0.5369560982817233,-0.13117067889588735,0.13974834080651988,0.06282851560919968,365.24232081911265,True,-1500.0
0.3779233464223807,-0.11108357081356399,0.10186769732845699,0.00953151567712615,365.24232081911265,True,-1000.0
0.39923923218985913,-0.11532556104171669,0.10989234993686742,-0.04001842829313658,365.24232081911265,True,-500.0
0.5105447995921849,-0.14126904146900804,0.14749481902372671,-0.08427120515950902,365.24232081911265,True,0.0
0.6169002021919027,-0.18638593173432744,0.19008091394077495,-0.12196324901876378,365.24232081911265,True,500.0
0.702356466216247,-0.24733347356350813,0.2263637106976632,-0.1512971194548755,365.24232081911265,True,1000.0
0.7654228436519077,-0.3194501971880041,0.25081728735311953,-0.17044380855622135,365.24232081911265,True,1500.0
0.7963624657040214,-0.39748917462492667,0.26192504684256807,-0.17907537025962983,365.24232081911265,True,2000.0
0.7939737353713667,-0.4769625490783864,0.25924796662703314,-0.17699848005886293,365.24232081911265,True,2500.0
0.7383177497576412,-0.5526204034765545,0.24171963546510383,-0.16324666330667856,365.24232081911265,True,3000.0
0.6564328753943869,-0.6185531675861076,0.2101328675196539,-0.1375971708605817,365.24232081911265,True,3500.0
0.5661695787634358,-0.6693602932628123,0.1692552426072462,-0.10142866978787644,365.24232081911265,True,4000.0
0.4606366541602256,-0.7008177361501999,0.1284561571174217,-0.055503731306230104,365.24232081911265,True,4500.0
0.418281274787887,-0.7081509595546311,0.11497219923343234,-0.00021390542627513806,365.24232081911265,True,5000.0
