n,period,amplitude,phase,power,power_pct,in_optimal_model,precession_fraction,coupling_error_pct,is_significant
1,294,,,247.35946281787577,0.0801455466199794,False,none,,False
2,588,,,478.194597684023,0.1549371387919168,False,none,,False
3,882,,,724.8104867925255,0.2348417642815256,False,none,,False
4,1176,,,957.822835061236,0.3103387831077294,False,none,,False
5,1470,,,1198.510442851907,0.3883226195508144,False,none,,False
10,2940,,,2423.771200875572,0.785312458084376,False,none,,False
20,5880,,,5069.580702841255,1.6425662957655405,True,none,,False
25,7350,,,6573.3212052965055,2.1297847881205834,True,2/7,0.1823684618966337,False
50,14700,,,21546.242761969657,6.981076786361952,True,4/7,0.1823684618966337,False
100,29400,,,17213.323152839625,5.577191903292668,True,8/7,0.1823684618966337,False
