n_harmonics,periods_list,n_parameters,in_sample_r2,in_sample_rmse,in_sample_mae,test_rmse,test_mae,test_r2,aic,bic,aicc,residual_autocorr,residual_max_power,ljung_box_pvalue,extrap_20k_rmse,extrap_30k_rmse,extrap_50k_rmse
1,[14700.0],3,0.2673608902331832,0.8498126868026632,0.7449613924110816,2.4257962720252126,2.1624985737152604,-2.2187726482462136,-7403.195863394742,-7379.097056535574,-7403.194808913196,0.8755157733228671,11484.678198705134,0.0,0.5094731420616506,0.5296762701799339,0.5259338572433221
2,"[14700.0, 29400.0]",5,0.9143290019051534,0.2905996416547552,0.2500989962308702,2.7036663214431287,2.199749114755927,-2.99841470591142,-56253.90126938233,-56213.73659128372,-56253.898632946795,-0.06473639319142346,2271.216640261815,0.0,0.9933642828481385,0.8661492048218083,0.9235891747826613
3,"[14700.0, 29400.0, 9800.0]",7,0.9171994537981705,0.2856898177185986,0.2472583685932219,2.4475371786498963,1.8966172731682833,-2.2767269173140736,-57025.69152279149,-56969.460973453424,-57025.68660101262,-0.10156273600159878,2271.1758651332984,0.0,0.9954826474136514,0.9123768904795204,0.9544900270576546
4,"[14700.0, 29400.0, 9800.0, 7350.0]",9,0.917337343202828,0.2854518361164408,0.2471246033104891,2.35314342598352,1.7777646522081796,-2.0288547760872837,-57059.63246769486,-56987.33604711735,-57059.624556997835,-0.10338028653648418,2271.167417909131,0.0,0.9957957673661895,0.937513902242293,0.9709213927338041
5,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0]",11,0.9173499026570553,0.28543015005167804,0.24711278237170506,2.3039406403829976,1.711166670537636,-1.9035160079199795,-57059.09140730379,-56970.729115486836,-57059.07980392827,-0.10354145449398774,2271.166618957188,0.0,0.9958445844494278,0.9541197702646617,0.9817212922385379
6,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0]",13,0.9173514830653321,0.2854274210873903,0.24711115062933559,2.2739250092344983,1.667686283080506,-1.8283550725162643,-57055.52669726884,-56951.09853421244,-57055.51069726884,-0.10356011713405273,2271.167223311026,0.0,0.9958392942603823,0.9662253834694868,0.9895807507680544
7,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535]",15,0.9582296060860699,0.20291420299055973,0.14517699685178584,2.266176350297919,1.6440220659719913,-1.8091120296239644,-72585.88679339847,-72465.39275910263,-72585.86569264236,-0.2657216872005019,1072.8626114475405,0.0,1.016475323505973,0.9862355804050004,1.009800322328768
8,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535, 4200.0]",17,0.9582298796454131,0.20291353853468835,0.14517338050896847,2.2454185436823417,1.6094496005688534,-1.7578857032973114,-72582.03587806577,-72445.47597253048,-72582.00897223617,-0.2657284376902412,1072.8632014302048,0.0,1.0164648641720857,0.9957857436975055,1.016000389837584
9,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535, 4200.0, 3675.0]",19,0.9582299841027392,0.20291328481481938,0.14517159456672654,2.225443843467032,1.573390713701808,-1.7090369790266084,-72578.09280559016,-72425.46702881543,-72578.0593901839,-0.26573070818805783,1072.8638311729314,0.0,1.016458878733391,1.0065588019596072,1.0229952690744915
10,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535, 4200.0, 3675.0, 3266.666666666667]",21,0.9582300981591014,0.20291300777917057,0.14517074459231719,2.1937411446760877,1.5122198324650893,-1.6324032304652447,-72574.15496459391,-72405.46331657973,-72574.11433492193,-0.26573328166377047,1072.8646916847965,,1.0164575652707548,1.0273067878308695,1.0364957425888435
11,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535, 4200.0, 3675.0, 3266.666666666667, 2940.0]",23,0.9582302833960427,0.2029125578496169,0.14516857535510383,2.1330993684782005,1.4104642111067731,-1.4888792553269257,-72570.25591630544,-72385.49839705181,-72570.20736749278,-0.2657377439198378,1072.8658802038592,,1.01646201303428,1.08362040360152,1.0734379129784042
12,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535, 4200.0, 3675.0, 3266.666666666667, 2940.0, 2672.727272727273]",25,0.9582305404414003,0.20291193350002237,0.1451659602442737,2.0925186291503737,1.4692911518204255,-1.395081630260806,-72566.39600340687,-72365.57261291379,-72566.33883039253,-0.265744127565412,1072.8673610087815,,1.0164676064061662,1.2384022270441224,1.1773411239496931
13,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535, 4200.0, 3675.0, 3266.666666666667, 2940.0, 2672.727272727273, 2450.0]",27,0.9582307059110068,0.2029115315820736,0.1451636606814435,2.29730401543914,1.8386078277438322,-1.886812632023219,-72562.48618311281,-72345.59692138029,-72562.41968064975,-0.26574809643794567,1072.868683010563,,1.0164666469045327,1.5088776257146428,1.3659252753188185
14,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535, 4200.0, 3675.0, 3266.666666666667, 2940.0, 2672.727272727273, 2450.0, 2261.5384615384614]",29,0.9582305999251316,0.2029117890169079,0.14516838432917278,2.65539823431607,2.1271679062046744,-2.8569230822593443,-72558.42842155727,-72325.4732885853,-72558.35188421233,-0.26574714846653225,1072.8682263208202,,1.016474507381952,0.9112812037056237,0.9604269436698295
15,"[14700.0, 29400.0, 9800.0, 7350.0, 5880.0, 4900.0, 4.140845070422535, 4200.0, 3675.0, 3266.666666666667, 2940.0, 2672.727272727273, 2450.0, 2261.5384615384614, 2100.0]",31,0.9582311787388575,0.20291038310091067,0.14516055935982938,2.3197663122765286,1.8953959598593035,-1.9435412633451388,-72554.74387274707,-72305.72286853565,-72554.65659490087,-0.2657626171924572,1072.8658184938047,,1.0164662357033492,0.9596767920708213,0.9907330887864735
