precession_fraction,target_period,closest_294_multiple,actual_period,error_pct,amplitude,in_optimal_model
1/8,3221.5,11,3234,0.3880180040353873,,False
2/7,7363.428571428572,25,7350,0.18236846189663378,,True
3/8,9664.5,33,9702,0.3880180040353873,,False
4/7,14726.857142857143,50,14700,0.18236846189663378,,True
1/2,12886.0,44,12936,0.3880180040353873,,False
5/8,16107.5,55,16170,0.3880180040353873,,False
6/7,22090.285714285714,75,22050,0.18236846189662964,,False
7/8,22550.5,77,22638,0.3880180040353873,,False
1/1,25772.0,88,25872,0.3880180040353873,,False
8/7,29453.714285714286,100,29400,0.18236846189663378,,True
9/7,33135.42857142857,113,33222,0.26126545605049095,,False
10/7,36817.142857142855,125,36750,0.18236846189662637,,False
11/7,40498.857142857145,138,40572,0.180604743696466,,False
12/7,44180.57142857143,150,44100,0.18236846189662964,,False
2/1,51544.0,175,51450,0.182368461896632,,False
